"3804","amparo (nm)","protection, shelter"
"3805","anhelo (nm)","longing, yearning"
"3806","apetito (nm)","appetite"
"3807","arranque (nm)","start, outburst, kick-start"
"3808","arroyo (nm)","brook, stream, gutter"
"3809","asco (nm)","disgust"
"3810","atardecer (nm)","evening, dusk"
"3811","atributo (nm)","attribute, quality"
"3812","bastón (nm)","walking cane"
"3813","bigote (nm)","mustache"
"3814","a bordo (nm)","on board"
"3815","catálogo (nm)","catalog"
"3816","caudal (nm)","volume, abundance, fortune"
"3817","chorro (nm)","stream, jet, spurt"
"3818","clavo (nm)","nail, tack, peg"
"3819","codo (nm)","elbow"
"3820","colchón (nm)","mattress"
"3821","collar (nm)","collar, necklace"
"3822","comisario (nm)","commissioner, delegate"
"3823","compás (nm)","rhythm, time, compass"
"3824","comprador (nm)","buyer"
"3825","conejo (nm)","rabbit"
"3826","conocedor (nm)","expert, judge, connoisseur"
"3827","consuelo (nm)","comfort, consolation"
"3828","contorno (nm)","outline, perimeter, edge"
"3829","convento (nm)","convent, monastery"
"3830","corral (nm)","corral, yard"
"3831","cuerno (nm)","horn, antler"
"3832","desacuerdo (nm)","disagreement"
"3833","deterioro (nm)","deterioration, damage"
"3834","diccionario (nm)","dictionary"
"3835","disparate (nm)","nonsense, blunder"
"3836","egoísmo (nm)","selfishness"
"3837","elogio (nm)","praise, eulogy, compliment"
"3838","embarazo (nm)","pregnancy"
"3839","emisor (nm)","transmitter, emitter"
"3840","enlace (nm)","link, connection, bond"
"3841","entierro (nm)","burial"
"3842","entrenamiento (nm)","training"
"3843","esqueleto (nm)","skeleton, framework"
"3844","estallido (nm)","crash, outbreak, explosion"
"3845","frasco (nm)","bottle, jar, flask"
"3846","grueso (nm)","bulk, mass (nm)"
"3847","herido (nm)","wounded (person) (nm)"
"3848","hígado (nm)","liver"
"3849","intervalo (nm)","interval, gap"
"3850","jovencito (nm)","young person"
"3851","laberinto (nm)","maze, labyrinth"
"3852","lapso (nm)","lapse"
"3853","lío (nm)","mess, problem, bad situation"
"3854","litro (nm)","liter"
"3855","llanto (nm)","crying, weeping"
"3856","mango (nm)","handle, mango"
"3857","manual (adj)","manual (adj)"
"3858","mármol (nm)","marble"
"3859","mozo (nm)","waiter, youth, bellboy"
"3860","ocio (nm)","leisure time"
"3861","pilar (nm)","pillar, column"
"3862","pino (nm)","pine tree"
"3863","pleito (nm)","litigation, suit, dispute"
"3864","productor (nm)","producer"
"3865","protector (nm)","protector, defender"
"3866","ramo (nm)","bunch of flowers, branch"
"3867","reclamo (nm)","claim, complaint, protest"
"3868","rencor (nm)","grudge, spite"
"3869","repertorio (nm)","repertoire, list, index"
"3870","reportaje (nm)","news report"
"3871","resentimiento (nm)","resentment"
"3872","riñón (nm)","kidney"
"3873","rollo (nm)","roll, coil"
"3874","rosario (nm)","rosary, beads, string"
"3875","seguidor (nm)","follower, supporter, fan"
"3876","seminario (nm)","seminar, seminary"
"3877","sendero (nm)","foot path"
"3878","sudor (nm)","sweat, perspiration"
"3879","tablero (nm)","board, panel"
"3880","tacto (nm)","sense of touch, feel"
"3881","talón (nm)","heel, check, coupon, stub"
"3882","tambor (nm)","drum"
"3883","terremoto (nm)","earthquake"
"3884","tinte (nm)","tint, dye"
"3885","trago (nm)","drink, [a] swallow"
"3886","traidor (nm)","traitor"
"3887","trance (nm)","trance, fix, enrapture"
"3888","trapo (nm)","rag, cloth"
"3889","trastorno (nm)","confusion, trouble, upheaval"
"3890","triángulo (nm)","triangle"
"3891","truco (nm)","trick, ruse"
"3892","turismo (nm)","tourism"
"3893","veneno (nm)","poison, venom"
"3894","verbo (nm)","verb"
"3895","volante (nm)","steering wheel"
"3896","asesor (nm/f)","adviser, consultant"
"3897","cocinero (nm/f)","cook"
"3898","consejero (nm/f)","advisor, counselor"
"3899","fotógrafo (nm/f)","photographer"
"3900","piloto (nm/f)","pilot, driver"
"3901","portero (nm/f)","porter, doorkeeper, goalkeeper"
"3902","senador (nm/f)","senator"
"3903","servidor (nm/f)","servant"
"3904","trabajador (adj)","hardworking (adj)"
"3905","lente (nmf)","lens, [pl] glasses"
"3906","vosotros (pron)","you (subj plural familiar)"
"3907","aburrir (v)","to bore, tire"
"3908","acariciar (v)","to stroke, fondle, caress"
"3909","adornar (v)","to adorn, to decorate"
"3910","aferrar (v)","to grasp, clutch"
"3911","agravar (v)","to aggravate, worsen"
"3912","agrupar (v)","to put in a group"
"3913","aparentar (v)","to give the appearance"
"3914","apresurar(se) (v) [also apurar]","to hurry up"
"3915","apurarse (v) [also apresurarse]","to hurry (LAm)"
"3916","argumentar (v)","to argue, deduce"
"3917","arrasar (v)","to raze, ravage"
"3918","articular (v)","to articulate"
"3919","atener (v)","to abide by, comply with"
"3920","calzar (v)","to wear shoes"
"3921","capturar (v)","to capture"
"3922","ceñir (v)","to adhere to, fit tightly, encircle"
"3923","chupar (v)","to suck"
"3924","circular (adj)","circular (adj)"
"3925","colar (v)","to slip in [se]<br />"
"3926","concurrir (v)","to coincide, concur, meet"
"3927","condicionar (v)","to condition, determine"
"3928","configurar (v)","to form, configure "
"3929","consagrar (v)","to consecrate, establish"
"3930","consolidar (v)","to consolidate"
"3931","constatar (v)","to prove, verify"
"3932","contagiar (v)","to infect, infest"
"3933","contradecir (v)","to contradict, be inconsistent"
"3934","coronar (v)","to crown, top"
"3935","debilitar (v)","to weaken, debilitate"
"3936","derramar (v)","to shed, pour out"
"3937","desafiar (v)","to defy, stand up to"
"3938","desfilar (v)","to march, parade"
"3939","despojar (v)","to deprive, rob"
"3940","devorar (v)","to devour, consume"
"3941","diluir (v)","to dilute, weaken"
"3942","disculpar (v)","to excuse"
"3943","dispersar (v)","to disperse, scatter, spread"
"3944","editar (v)","to edit, publish, release"
"3945","emocionar (v)","to move, make/get excited"
"3946","encabezar (v)","to head, lead off"
"3947","encaminar (v)","to head for, guide"
"3948","engendrar (v)","to engender, beget"
"3949","enlazar (v)","to link, connect"
"3950","entrevistar (v)","to interview"
"3951","espantar (v)","to scare, frighten"
"3952","evaluar (v)","to evaluate, assess"
"3953","evocar (v)","to evoke, recall"
"3954","expandir (v)","to expand"
"3955","fiar (v)","to vouch for, confide, trust"
"3956","fingir (v)","to feign, pretend"
"3957","fortalecer (v)","to fortify"
"3958","frecuentar (v)","to frequent, visit"
"3959","hervir (v)","to boil"
"3960","igualar (v)","to equate, equalize"
"3961","inquietar (v)","to make uneasy, disturb"
"3962","insultar (v)","to insult, berate"
"3963","interponer (v)","to interpose, intervene"
"3964","intuir (v)","to sense"
"3965","inundar (v)","to flood, inundate"
"3966","invocar (v)","to invoke"
"3967","latir (v)","to beat (heart)"
"3968","liquidar (v)","to liquidate, sell off"
"3969","manipular (v)","to manipulate, handle"
"3970","obrar (v)","to work, act"
"3971","oscurecer (v)","to get dark"
"3972","ostentar (v)","to flaunt, show off"
"3973","palpar (v)","to feel, touch, fondle"
"3974","perdurar (v)","to last, live on, endure"
"3975","poblar (v)","to populate, inhabit"
"3976","predecir (v)","to predict"
"3977","prevalecer (v)","to prevail"
"3978","prosperar (v)","to prosper, thrive"
"3979","reaparecer (v)","to reappear"
"3980","rebajar (v)","to lower, reduce, discount"
"3981","regar (v)","to water, irrigate"
"3982","regular (v)","to regulate, adjust (v)"
"3983","reinar (v)","to reign, prevail"
"3984","rematar (v)","to finish off, finish up"
"3985","remediar (v)","to heal, cure"
"3986","repasar (v)","to review, revise"
"3987","replicar (v)","to reply"
"3988","restaurar (v)","to restore, reinstate"
"3989","retrasar (v)","to delay, fall behind"
"3990","reventar (v)","to burst, puncture"
"3991","sumergir (v)","to submerge, plunge"
"3992","sustentar (v)","to maintain, support"
"3993","titular (v)","to title, call (v)"
"3994","topar (v)","to run into, bump into"
"3995","torcer (v)","to twist, bend, distort"
"3996","trepar (v)","to climb"
"3997","vacilar (v)","to vacillate, hesitate"
"3998","vibrar (v)","to vibrate, tremble"
"3999","vincular (v)","to connect, link, bind"
"4000","abierto (adj)","open, unlocked"
"4001","alto (adj)","tall, high"
"4002","ambos (adj)","both"
"4003","anterior (adj)","previous, preceding"
"4004","antiguo (adj)","old, ancient, former"
"4005","aquel (adj)","that (over there)"
"4006","bajo (prep)","under, underneath (prep)"
"4007","blanco (adj)","white"
"4008","bueno (adj)","good (adj)"
"4009","cada (adj)","each, every"
"4010","capaz (adj)","capable, able"
"4011","cierto (adj)","certain, sure, true"
"4012","claro (adj)","clear (adj)"
"4013","completo (adj)","complete"
"4014","común (adj)","common"
"4015","contrario (adj)","contrary, opposite"
"4016","en cuanto a<br />cuanto (adj)","in terms of, regarding"
"4017","cuyo (adj)","whose"
"4018","demás (adj)","the rest, others"
"4019","demasiado (adj)","too much, too many"
"4020","derecho (nm)","right, justice, law (nm)"
"4021","diferente (adj)","different, separate"
"4022","difícil (adj)","difficult, hard"
"4023","distinto (adj)","distinct, different"
"4024","económico (adj)","economic"
"4025","enorme (adj)","enormous, vast"
"4026","ese, esa (adj)","that"
"4027","español (adj)","Spanish"
"4028","especial (adj)","special"
"4029","este, esta (adj)","this (adj)"
"4030","al final<br />final (nmf)","finally, in the end"
"4031","general (adj)","general (adj)"
"4032","grande (adj)","large, great, big"
"4033","humano (adj)","human (adj)"
"4034","igual (adj)","equal, same as"
"4035","importante (adj)","important"
"4036","joven (adj)","young (adj)"
"4037","junto (adv)","together with, next to (adv)"
"4038","largo (adj)","long (adj)"
"4039","libre (adj)","free, vacant"
"4040","malo (adj)","bad"
"4041","mayor (adj)","larger, older, main"
"4042","medio (nm)","means, middle (nm)"
"4043","mejor (adj)","best, better (adv)"
"4044","menor (adj)","younger, youngest"
"4045","menos (adj)","less, fewer"
"4046","mi (adj)","my"
"4047","mismo (adj)","same"
"4048","natural (adj)","natural"
"4049","necesario (adj)","necessary"
"4050","negro (adj)","black"
"4051","nuestro (adj)","our"
"4052","nuevo (adj)","new"
"4053","otro (adj)","other, another"
"4054","pasado (adj)","past, last (adj)"
"4055","pequeño (adj)","little, small, young"
"4056","pobre (adj)","poor"
"4057","poco (adj)","little, few, a little bit (adv)"
"4058","político (adj)","political (adj)"
"4059","posible (adj)","possible"
"4060","primero (adj)","first"
"4061","principal (adj)","main, principal"
"4062","profundo (adj)","deep, profound"
"4063","propio (adj)","own, proper, typical"
"4064","próximo (adj)","next"
"4065","público (adj)","public (adj)"
"4066","real (adj)","royal, real, authentic"
"4067","segundo (adj)","second (adj)"
"4068","siguiente (adj)","following, next"
"4069","social (adj)","social"
"4070","solo (adj)","lonely, alone (adj)"
"4071","su (adj)","his/her/their/your (formal)"
"4072","tal (adj)","such a"
"4073","tanto (adj)","so much, so many"
"4074","tercero (adj)","third"
"4075","todo (adj)","all, every"
"4076","tu (adj)","your (singular familiar)"
"4077","último (adj)","last, final"
"4078","único (adj)","only, unique, sole"
"4079","varios (adj)","several, various"
"4080","verdadero (adj)","true, real"
"4081","viejo (adj)","old, aged"
"4082","vivo (adj)","alive, bright"
"4083","bastante (adj, adv)","rather, fairly, quite a bit"
"4084","mucho (adj, adv)","much, many, a lot"
"4085","alguno (adj, pron)","some, someone"
"4086","cualquier (adj, pron)","any, anyone"
"4087","ninguno (adj pron)","no, none, nobody"
"4088","además (adv)","also, as well, besides"
"4089","ahí (adv) [also allí]","there"
"4090","ahora (adv)","now"
"4091","allá (adv)","there, over there"
"4092","allí (adv)","there [also ahí]"
"4093","antes (adv)","before"
"4094","aquí (adv)","here"
"4095","así (adv)","like that"
"4096","atrás (adv)","behind"
"4097","aún (adv)","still, yet [also todavía]"
"4098","bien (adv) [also bueno]","well (adv)"
"4099","bueno (adv) [also bien]","well (adv)"
"4100","casi (adv)","almost, nearly"
"4101","cerca (adv)","close, near"
"4102","claro (adv)","of course, clearly (adv)"
"4103","como (conj)","like, as"
"4104","cuando (conj)","when (conj)"
"4105","dentro (adv) [also adentro]","inside"
"4106","después (adv)","after"
"4107","donde (conj)","where"
"4108","durante (adv)","during, for (time)"
"4109","encima (adv)","above, on top, in addition"
"4110","entonces (adv)","so, then"
"4111","fuera (adv)","out, outside, away"
"4112","hoy (adv)","today, nowadays"
"4113","incluso (adv)","including, even (adv)"
"4114","lejos (adv)","far away, far off"
"4115","luego (adv)","later, afterwards"
"4116","mal (adv)","badly (adv)"
"4117","mañana (nf)","morning, tomorrow (nf)"
"4118","muy (adv)","very, really"
"4119","no (adv)","no"
"4120","nunca (adv)","never, ever"
"4121","pronto (adv)","soon, quick"
"4122","quizás (adv)","perhaps, maybe"
"4123","realmente (adv)","really, actually, in fact"
"4124","si (conj)","if, whether"
"4125","siempre (adv)","always, forever"
"4126","solamente (adv)","only [also únicamente]"
"4127","solo (adv)","only, just (adv)"
"4128","también (adv)","also"
"4129","tampoco (adv)","neither, nor, either"
"4130","tan (adv)","such, as, too, so"
"4131","tarde (nf)","afternoon, evening (nf)"
"4132","todavía (adv)","still, yet [also aún]"
"4133","a través (adv)","across, over, through"
"4134","ya (adv)","already, still"
"4135","él (pron)","he, [ellos] them (m)"
"4136","lo (art)","the (neuter art)"
"4137","un (art)","a, an"
"4138","aunque (conj)","although, even though"
"4139","cómo (adv)","how?"
"4140","dónde (adv)","where?"
"4141","más (adj)","more"
"4142","mientras (conj)","while, whereas, as long as"
"4143","ni (conj)","not even, neither, nor"
"4144","o (conj)","or"
"4145","pero (conj)","but, yet, except"
"4146","porque (conj)","because"
"4147","pues (conj)","then, well then"
"4148","que (conj)","that, which"
"4149","sí (adv)","yes"
"4150","sino (conj)","but, except, rather"
"4151","y (conj)","and"
"4152","acción (nf)","action, act, deed"
"4153","actividad (nf)","activity, action"
"4154","atención (nf)","attention"
"4155","base (nf)","base, basis"
"4156","cabeza (nf)","head (part of body)"
"4157","calle (nf)","street"
"4158","cantidad (nf)","quantity, amount"
"4159","cara (nf)","face, expression"
"4160","carrera (nf)","career, course, race"
"4161","casa (nf)","house"
"4162","ciudad (nf)","city"
"4163","clase (nf)","kind, class, order"
"4164","condición (nf)","condition"
"4165","cosa (nf)","thing"
"4166","cuenta (nf)","bill, account"
"4167","cuestión (nf)","question, matter"
"4168","diferencia (nf)","difference"
"4169","duda (nf)","doubt"
"4170","edad (nf)","age"
"4171","época (nf)","time, age, period"
"4172","especie (nf)","kind, sort, species"
"4173","experiencia (nf)","experience"
"4174","falta (nf)","lack, shortage [also carencia]"
"4175","familia (nf)","family"
"4176","figura (nf)","figure"
"4177","forma (nf)","form, shape, way"
"4178","fuerza (nf)","strength, force, power"
"4179","gente (nf)","people"
"4180","gracia (nf)","thank you, grace, favor"
"4181","guerra (nf)","war, warfare"
"4182","historia (nf)","history, story"
"4183","hora (nf)","hour, time (specific)"
"4184","idea (nf)","idea"
"4185","imagen (nf)","image, picture"
"4186","importancia (nf)","importance"
"4187","ley (nf)","law, bill, rule"
"4188","libertad (nf)","freedom, liberty"
"4189","línea (nf)","line, course"
"4190","luz (nf)","light"
"4191","madre (nf)","mother"
"4192","manera (nf)","way, manner (nf)"
"4193","mano (nf)","hand"
"4194","medida (nf); a medida que","measure: to the extent"
"4195","mesa (nf)","table, board"
"4196","muerte (nf)","death"
"4197","mujer (nf)","woman, wife"
"4198","necesidad (nf)","necessity, need"
"4199","noche (nf)","night, evening"
"4200","obra (nf)","work, book, deed"
"4201","ocasión (nf)","opportunity, occasion"
"4202","palabra (nf)","word"
"4203","parte (nf)","part, portion"
"4204","persona (nf)","person"
"4205","posibilidad (nf)","possibility"
"4206","pregunta (nf)","question"
"4207","puerta (nf)","door"
"4208","razón (nf)","reason"
"4209","realidad (nf)","reality, actuality"
"4210","relación (nf)","relationship, relation"
"4211","respuesta (nf)","answer, reply"
"4212","semana (nf)","week"
"4213","situación (nf)","situation"
"4214","sociedad (nf)","society"
"4215","tierra (nf)","earth, land, ground"
"4216","verdad (nf)","truth"
"4217","vez (nf)","time (specific occurrence)"
"4218","vida (nf)","life"
"4219","vista (nf)","view, sight"
"4220","voz (nf)","voice"
"4221","zona (nf)","area, zone (nf)"
"4222","agua (nf el)","water"
"4223","acuerdo (nm); de acuerdo","accord: in agreement"
"4224","aire (nm)","air, wind, appearance"
"4225","amigo (nm)","friend"
"4226","amor (nm)","love"
"4227","animal (nm)","animal"
"4228","año (nm)","year"
"4229","aspecto (nm)","aspect, appearance"
"4230","cabo (nm)","end, bit"
"4231","cambio (nm)","change"
"4232","camino (nm)","road, route, path"
"4233","campo (nm)","field, country"
"4234","caso (nm)","case, occasion"
"4235","centro (nm)","center, middle, downtown"
"4236","color (nm)","color"
"4237","conocimiento (nm)","knowledge"
"4238","cuerpo (nm)","body"
"4239","deber (v)","should, ought to; to owe (v)"
"4240","día (nm)","day"
"4241","dinero (nm)","money"
"4242","dios (nm)","god, divinity"
"4243","don (nm)","courtesy title (m), Mr., gift"
"4244","efecto (nm)","effect"
"4245","ejemplo (nm)","example"
"4246","sin embargo<br />embargo (nm)","nevertheless"
"4247","esfuerzo (nm)","effort, endeavor"
"4248","espacio (nm)","space, room"
"4249","estado (nm)","state, condition, status"
"4250","estudio (nm)","study, learning"
"4251","favor (nm)","favor, benefit"
"4252","fin (nm)","end"
"4253","fondo (nm)","background, back, bottom"
"4254","gobierno (nm)","government"
"4255","grupo (nm)","group"
"4256","hecho (nm)","fact, happening"
"4257","hijo (nm)","son, [pl] children"
"4258","hombre (nm)","man, mankind, husband"
"4259","interés (nm)","interest"
"4260","juego (nm)","game, play, sport"
"4261","lado (nm)","side"
"4262","ladrón (nm)","thief"
"4263","libro (nm)","book"
"4264","lugar (nm)","place, position"
"4265","medio (adj)","half, middle (adj)"
"4266","mes (nm)","month"
"4267","miedo (nm)","fear [also temor]"
"4268","minuto (nm)","minute"
"4269","modo (nm)","way, manner (nm)"
"4270","momento (nm)","moment, time"
"4271","movimiento (nm)","movement"
"4272","mundo (nm)","world"
"4273","niño (nm)","child, little boy"
"4274","nivel (nm)","level"
"4275","nombre (nm)","name, noun"
"4276","número (nm)","number"
"4277","objeto (nm)","object, thing"
"4278","ojo (nm)","eye"
"4279","padre (nm)","father"
"4280","país (nm)","country"
"4281","papel (nm)","paper, role, part"
"4282","parecer (v)","to seem, look like (v)"
"4283","partido (nm)","party, group, sports match"
"4284","paso (nm)","step, pace"
"4285","pesar (nm)","sorrow (nm)"
"4286","peso (nm)","peso (money), weight, load"
"4287","pie (nm)","foot, base"
"4288","poder (v)","to be able to, can (v)"
"4289","principio (nm)","beginning, principle"
"4290","problema (nm)","problem"
"4291","proceso (nm)","process, procedure"
"4292","programa (nm)","program, plan"
"4293","pueblo (nm)","people, village"
"4294","punto (nm)","point, dot, period"
"4295","respecto (nm); con respecto a","respect: with regards to"
"4296","resto (nm)","rest, remainder, leftover"
"4297","resultado (nm)","result, outcome"
"4298","saber (v)","to know (a fact), find out (v)"
"4299","santo (nm)","saint (m)"
"4300","señor (nm)","sir, Mr., lord"
"4301","sentido (nm)","sense, feeling"
"4302","sentir (v)","to feel, regret (v)"
"4303","ser (v)","to be (norm) (v)"
"4304","servicio (nm)","service, helpfulness"
"4305","siglo (nm)","century, age"
"4306","sistema (nm)","system"
"4307","suelo (nm)","ground, floor"
"4308","te (pron)","you (obj, familiar)"
"4309","tema (nm)","theme, subject, topic"
"4310","tiempo (nm)","time (general), weather"
"4311","tipo (nm)","type, kind"
"4312","trabajo (nm)","work, job, effort"
"4313","valor (nm)","value, worth (n)"
"4314","viaje (nm)","travel, trip"
"4315","al frente: frente a<br />frente (nmf)","facing; across from"
"4316","orden (nmf)","order; sequence (m), religious (f)"
"4317","ciento (num)","hundred (num)"
"4318","cinco (num)","five"
"4319","cuatro (num)","four"
"4320","diez (num)","ten"
"4321","dos (num)","two"
"4322","mil (num)","thousand"
"4323","ocho (num)","eight"
"4324","seis (num)","six"
"4325","siete (num)","seven"
"4326","tres (num)","three"
"4327","uno (num)","one"
"4328","a (prep)","to, at"
"4329","ante (prep)","before, in the presence of"
"4330","bajo (adj)","short, low (adj)"
"4331","con (prep)","with"
"4332","contra (prep)","against, opposite"
"4333","de (prep)&nbsp;de","of, from"
"4334","desde (prep)","from, since"
"4335","en (prep)","in, on"
"4336","entre (prep)","between, among"
"4337","hacia (prep)","toward, towards"
"4338","hasta (prep)","until, up to, even (adv)"
"4339","para (prep)","for, to, in order to"
"4340","por (prep)","by, for, through"
"4341","según (prep)","according to"
"4342","sin (prep)","without"
"4343","sobre (prep)","on top of, over, about"
"4344","algo (pron)","something, somewhat"
"4345","alguien (pron)","somebody, someone, anyone"
"4346","cual (pron)","which, who, whom"
"4347","cuál (pron)","which?"
"4348","el, la (art)","the"
"4349","ella, ellas (pron)","she,&nbsp;them (f)"
"4350","ello (pron)","it (subj-n)"
"4351","eso (pron)","that (pron)"
"4352","éste, ésta (pron)","this one"
"4353","esto (pron)","this (pron)"
"4354","la (pron)","3rd person dir obj-f"
"4355","le (pron)","3rd person indir obj"
"4356","lo (pron)","3rd person dir obj-m"
"4357","me (pron) [also mí]","me (pron)"
"4358","mí (pron) [also me]","me (pron)"
"4359","nada (pron)","nothing, not at all"
"4360","nadie (pron)","nobody, anybody"
"4361","nos (pron)","us"
"4362","nosotros (pron)","we"
"4363","qué (adj)","what?, which?, how (adj)!"
"4364","quien (pron)","who, whom"
"4365","quién (pron)","who?, whom?"
"4366","se (pron)","<div><div>oneself, self</div></div>"
"4367","usted (pron)","you (subj formal)"
"4368","yo (pron)","I (pron)"
"4369","abrir (v)","to open"
"4370","acabar (v)","to have just"
"4371","aceptar (v)","to accept"
"4372","acercar (v)","to come near"
"4373","alcanzar (v)","to reach, catch up with"
"4374","aparecer (v)","to appear"
"4375","aprender (v)","to learn"
"4376","ayudar (v)","to help"
"4377","buscar (v)","to look for"
"4378","caer (v)","to fall"
"4379","cambiar (v)","to change"
"4380","cerrar (v)","to close"
"4381","comenzar (v)","to begin, start [also empezar]"
"4382","comer (v)","to eat"
"4383","comprar (v)","to buy"
"4384","comprender (v)","to understand [also entender]"
"4385","conocer (v)","to know (someone or place)"
"4386","conseguir (v)","to get, acheive"
"4387","considerar (v)","to consider"
"4388","contar (v)","to tell, count"
"4389","continuar (v)","to continue"
"4390","convertir (v)","to convert, change, become"
"4391","correr (v)","to run"
"4392","crear (v)","to create"
"4393","creer (v)","to believe, think"
"4394","cumplir (v)","to fulfill"
"4395","dar (v)","to give"
"4396","decidir (v)","to decide"
"4397","decir (v)","to tell, say"
"4398","dedicar (v)","to dedicate, devote"
"4399","dejar (v)","to let, leave"
"4400","desarrollar (v)","to develop"
"4401","descubrir (v)","to discover"
"4402","detener (v)","to stop, detain"
"4403","dirigir (v)","to direct, manage"
"4404","echar (v)","to throw"
"4405","elegir (v)","to choose, elect"
"4406","empezar (v)","to begin, start [also comenzar]"
"4407","encontrar (v)","to find"
"4408","entender (v)","to understand [also comprender]"
"4409","entrar (v)","to enter"
"4410","escribir (v)","to write"
"4411","escuchar (v)","to listen to"
"4412","esperar (v)","to wait, hope for, expect"
"4413","estar (v)","to be (location, change from norm)"
"4414","estudiar (v)","to study"
"4415","evitar (v)","to avoid, prevent [also prevenir]"
"4416","existir (v)","to exist"
"4417","explicar (v)","to explain"
"4418","fijar (v)","to set, fix, [se] notice"
"4419","formar (v)","to form"
"4420","ganar (v)","to win, earn"
"4421","gustar (v)","to be pleasing to"
"4422","haber (v)","to have (aux v)"
"4423","hablar (v)","to speak, talk"
"4424","hacer (v)","to do, to make"
"4425","imaginar (v)","to imagine"
"4426","importar (v)","to matter, import"
"4427","indicar (v)","to indicate"
"4428","intentar (v)","to try, attempt"
"4429","interesar (v)","to interest"
"4430","ir (v)","to go"
"4431","jugar (v)","to play (sport/game)"
"4432","leer (v)","to read"
"4433","levantar (v)","to raise, lift"
"4434","llamar (v)","to call, name [also denominar]"
"4435","llegar (v)","to arrive"
"4436","llevar (v)","to take, carry"
"4437","lograr (v)","to get, to manage to (do something)"
"4438","mantener (v)","to keep, maintain"
"4439","mirar (v)","to look, watch"
"4440","morir (v)","to die"
"4441","mostrar (v)","to show"
"4442","mover (v)","to move, incite"
"4443","nacer (v)","to be born"
"4444","necesitar (v)","to need"
"4445","observar (v)","to observe, to notice"
"4446","obtener (v)","to obtain"
"4447","ocupar (v)","to occupy, use"
"4448","ocurrir (v)","to happen, occur"
"4449","ofrecer (v)","to offer, present"
"4450","oír (v)","to hear"
"4451","olvidar (v)","to forget"
"4452","pagar (v)","to pay"
"4453","partir (v)","to leave, split"
"4454","pasar (v)","to pass, spend time"
"4455","pedir (v)","to ask for, request"
"4456","pensar (v)","to think"
"4457","perder (v)","to lose, miss"
"4458","permitir (v)","to allow, permit"
"4459","poder (nm)","power (nm)"
"4460","poner (v)","to put on"
"4461","preguntar (v)","to ask a question"
"4462","preparar (v)","to prepare"
"4463","presentar (v)","to introduce, present"
"4464","producir (v)","to produce, cause"
"4465","proponer (v)","to propose"
"4466","quedar (v)","to remain, stay"
"4467","querer (v)","to want, love"
"4468","realizar (v)","to fulfill, carry out"
"4469","recibir (v)","to receive"
"4470","reconocer (v)","to recognize, admit"
"4471","recordar (v) [also acordar]","to remember, remind"
"4472","referir (v)","to refer to, tell"
"4473","repetir (v)","to repeat"
"4474","responder (v)","to answer, respond"
"4475","resultar (v)","to result, turn out"
"4476","sacar (v)","to take out"
"4477","salir (v)","to leave [also partir]"
"4478","seguir (v)","to follow, to go on"
"4479","señalar (v)","to point out, signal"
"4480","ser (nm)","being (nm)"
"4481","servir (v)","to serve"
"4482","soler (v)","to be accustomed to [also acostumbrar]"
"4483","subir (v)","to go up"
"4484","suceder (v)","to happen"
"4485","sufrir (v)","to suffer, undergo"
"4486","suponer (v)","to suppose, assume"
"4487","tener (v)","to have"
"4488","terminar (v)","to finish, end"
"4489","tocar (v)","to touch, play an instrument"
"4490","tomar (v)","to take, drink"
"4491","trabajar (v)","to work"
"4492","traer (v)","to bring, carry"
"4493","tratar (v)","to try, treat, deal with"
"4494","usar (v)","to use"
"4495","utilizar (v)","to use, utilize"
"4496","valer (v)","to be worth, cost"
"4497","venir (v)","to come"
"4498","ver (v)","to see"
"4499","vivir (v)","to live"
"4500","volver (v)","to turn, to turn over, to return to a place"
"4501","accesible (adj)","accessible"
"4502","acelerado (adj)","accelerated, quick"
"4503","acomodado (adj)","well-to-do, suitable"
"4504","afín (adj)","related, similar"
"4505","afortunado (adj)","fortunate"
"4506","alarmante (adj)","alarming"
"4507","andaluz (adj)","Andalusian"
"4508","angustiado (adj)","anguished, distressed"
"4509","angustioso (adj)","distressing"
"4510","aplastado (adj)","crushed, flattened"
"4511","árido (adj)","arid, dry"
"4512","asombrado (adj)","amazed, bewildered"
"4513","atroz (adj)","atrocious"
"4514","bancario (adj)","bank, banking"
"4515","bélico (adj)","warlike"
"4516","bendito (adj)","blessed"
"4517","bíblico (adj)","biblical"
"4518","callejero (adj)","of the street"
"4519","caprichoso (adj)","capricious, whimsical"
"4520","carente (adj)","lacking, devoid"
"4521","cerebral (adj)","cerebral"
"4522","clínico (adj)","clinical"
"4523","colombiano (adj)","Colombian"
"4524","colorado (adj)","red, colored"
"4525","combinado (adj)","combined"
"4526","comprensivo (adj)","understanding (adj)"
"4527","confundido (adj)","confused"
"4528","congelado (adj)","frozen"
"4529","constructivo (adj)","constructive"
"4530","contundente (adj)","decisive, blunt, forceful"
"4531","cordial (adj)","cordial, friendly"
"4532","corporal (adj)","of the body, corporal"
"4533","crónico (adj)","chronic"
"4534","decente (adj)","respectable, decent"
"4535","desconcertado (adj)","disoriented, disconcerted"
"4536","eclesiástico (adj)","ecclesiastical"
"4537","educado (adj)","educated"
"4538","elocuente (adj)","eloquent"
"4539","entusiasta (adj)","enthusiastic"
"4540","esporádico (adj)","sporadic"
"4541","estadístico (adj)","statistical"
"4542","exento (adj)","exempt, free"
"4543","extra (adj)","extra"
"4544","fértil (adj)","fertile, rich"
